3804;A GOD GAVE ROCK'N'ROLL TO YOU;KISS; 
3602;A NEW SENSATION;ARABESQUE; 
3805;A SALTY DOG;PROCOL HARUM; 
3806;A TASTE OF HONEY;BEATLES;•
3721;A TOI;JOE DASSIN;•
3808;ALBERTA;ERIC CLAPTON; 
3611;ALL FOR THE LOVE OF A GIRL;JOHNNY HORTON; 
3837;ALL NIGHT LONG;LIONEL RICHIE;•
3809;ALL THIS AND MORE;PROCOL HARUM; 
3810;ALL THOSE YEARS AGO;GEORGE HARRISON; 
3724;AMERICA;TOTO CUTUGNO;•
3725;AMORE NO;ADRIANO CELENTANO; 
3646;ANGEL;JIMI HENDRIX; 
3886;ANGELIA;RICHARD MARX; 
3726;ANNIE'S SONG;JOHN DENVER; 
3853;ANOTHER BRICK IN THE WALL;PINK FLOYD; 
3727;ANTONIO'S SONG;MICHAEL FRANKS; 
3755;ANYTHING THAT'S PART OF YOU;ELVIS PRESLEY; 
3707;AUTUMN LEAVES;YVES MONTAN;•
3669;AVE MARIA;NOTRE DAME DE PARIS; 
3742;BABY DO YOU WANNA BUMP;BONEY M;•
3779;BAMBOLEO;GIPSY KINGS;•
3658;BEAUTY AND THE BEAST;C.DION & P.BRYSON; 
3811;BELLADONNA;U.F.O.; 
3671;BELLE;NOTRE DAME DE PARIS;•
3780;BEM, BEM, MARIA;GIPSY KINGS; 
3781;BESAME MUCHO;CONSUELO VELASQUEZ;•
3782;BESAME MUCHO;DALIDA; 
3558;BEYOND MY CONTROL;MYLENE FARMER; 
3559;BIG IN JAPAN;ALPHAVILLE;•
3889;BILLIE JEAN;MICHAEL JACKSON; 
3683;BLACK AND WHITE;THREE DOG NIGHT; 
3603;BLACK MAGIC WOMAN;SANTANA; 
3488;BLACK OR WHITE;MICHAEL JACKSON; 
3467;BLOOD FROM A CLONE;GEORGE HARRISON; 
3551;BLOW WIND BLOW;ERIC CLAPTON; 
3783;BLUE HAWAII;ELVIS PRESLEY; 
3862;BLUE HOTEL;CHRIS ISAAK; 
3826;BLUE JEANS BLUES;ZZ TOP; 
3866;BLUE SPANISH SKY;CHRIS ISAAK; 
3784;BOAT ON THE RIVER;STYX; 
3560;BOTH SIDES NOW;JUDY COLLINS; 
3604;BOYS;SABRINA;•
3605;BUGGY BOY;ARABESQUE; 
3785;BUONASERA SIGNORINA;ADRIANO CELENTANO;•
