1492;-140;ЗЕМФИРА;РАМАЗАНОВА 3.;РАМАЗАНОВА 3.; ; 
165;10 000 KM;СУКАЧЕВ Г.;СУКАЧЕВ И.;СУКАЧЕВ И.; ; 
1369;1100;АРИЯ;ХОЛСТИНИН В.;ПУШКИНА М.; ; 
1;12-85-00;ХАМЕЛЕОН;ГАНИН А.;ГАНИН А.;•; 
1370;17 ЛЕТ;ЧАЙФ;ШАХРИН В.;ШАХРИН В.; ; 
2229;18 БЕРЕЗ;ЧИЖ И К;ЧИГРАКОВ С.;ЧИГРАКОВ С.; ; 
630;2000 ЛЕТ;ДЭМО;ПОСТОВАЛОВ Д.;ПОСТОВАЛОВ Д.;•; 
1372;2001 ГОД;КРЕМАТОРИЙ;ГРИГОРЯН А.;ГРИГОРЯН А.; ; 
173;21 ВЕК;СЮТКИН В.;СЮТКИН В.;ПАТРУШЕВ С.; ; 
2213;240 РАЗ;ДОЛИНА Л.;ЛОТКИН В.;ДЕНИСОВ Н.; ; 
203;33 КОРОВЫ;"ИЗ К/Ф ""МЭРИ ПОППИНС, ДО СВИДАНИЯ""";ДУНАЕВСКИЙ М.;ОЛЕВ Н.; ; 
1374;40 000 КМ;ЧИЧЕРИНА;ЧИЧЕРИНА Ю., МУХАМЕТОВ А.;ЧИЧЕРИНА Ю.; ; 
2;42 МИНУТЫ ПОД ЗЕМЛЕЙ;СЮТКИН В.;СЮТКИН В.;ПАТРУШЕВ С., СЮТКИН Е.;•; 
256;5 ДНЕЙ ЛЮБВИ;КГБ;КИРЕЕВ А.;КИРЕЕВА.; ; 
280;5 МИНУТ ОТ ТВОЕГО ДОМА;КУЗЬМИН В.;КУЗЬМИН В.;КУЗЬМИН В.; ; 
1901;7 ЭТАЖ;МАССКВА;ЛЕРА МАССКВА;ЛЕРА МАССКВА; ; 
3;7000 НАД ЗЕМЛЕЙ;СЮТКИН В.;СЮТКИН В.;ПАТРУШЕВ С, СЮТКИН В.;•; 
294;730 ДНЕЙ В ГОДУ;КУЗЬМИН В.;КУЗЬМИН В.;КУЗЬМИН В.; ; 
1823;DISCO SUPERSTAR;ДИСКОТЕКА АВАРИЯ;РЫЖОВ А.;РЫЖОВ А.; ; 
2798;DOLCHE VITA;ЖАСМИН;БРЫЛИН И.;ЛАРА Д`ЭЛИА; ;•
298;EVERYBODY DANCE;ПОДОЛЬСКАЯ Н.;БАЙДО А.;БАЙДО А., КАМИНСКИЙ И.; ; 
3435;GOOD MORNING, ПАПА;ВИА ГРА;МЕЛАДЗЕ К.;МЕЛАДЗЕ К.; ; 
3224;I CAN'T LIVE WITHOUT YOU;REFLEX;ТЮРИН В.;ТЮРИН В., ЮРАКОВ М.;•; 
333;LOVE IS THRUE;ЛЕПРИКОНСЫ;МИТЬКО И.;МИТЬКО И.; ; 
339;LOVE STORY;МАЛИКОВ Д.;МАЛИКОВ Д.;ВИНОГРАДОВА Л.; ; 
1427;MONEY MONEY;МАЛАХОВА Е.;KOLEHMAINEN MAKI;А`КИМ А.; ; 
3438;MY LIFE;ОРБАКАЙТЕ К.;СОРОКИН С.;ШАМИС О.; ; 
340;NOBODY HURT NO ONE;ПОДОЛЬСКАЯ Н.;ДРОБЫШ В.;CHASE, APPLEGATE; ; 
358;NON STOP;REFLEX;ТЮРИН В.;КАЛЬПУРНИЙ Г.; ; 
392;OFF/ON;ЧИЧЕРИНА;АЛЕКСАНДРОВА.;АЛЕКСАНДРОВА.; ;•
1266;SAMBA ДЛЯ ЖИГАНОВ;ВОРОН В.;ВОРОН В.;ВОРОН В.; ; 
2073;SMILE;СЕТИ;НИКОЛЕНКО Я.;НИКОЛЕНКО Я.; ; 
401;SMS;БИЛАН Д.;КОВАЛЬСКИЙ Д., КИЯМОВ Р.;КОВАЛЬСКИЙ Д., КИЯМОВ Р.; ; 
1888;SMSНАЯ ЛЮБОВЬ;МАССКВА;ЛЕРА МАССКВА;ЛЕРА МАССКВА; ; 
1376;WEB GIRL;ЗЕМФИРА;РАМАЗАНОВА 3.;РАМАЗАНОВА 3.; ; 
2078;А БУДЕТ ЭТО ТАК;ВИЗБОР Ю.;ВИЗБОР Ю.;ВИЗБОР Ю.; ; 
5;А В ЧИСТОМ ПОЛЕ;БЕЛЫЙ ОРЕЛ;ГРЕВНОВ Л., ПЕЛЕНЯГРЭ В.;ПЕЛЕНЯГРЭ В.; ; 
430;А ВСЕ МОГЛО БЫ БЫТЬ ИНАЧЕ;МЕЛАДЗЕ В.;МЕЛАДЗЕ К.;МЕЛАДЗЕ К.; ; 
2166;А ГОДЫ ЛЕТЯТ;"ИЗ К/Ф ""ДОБРОВОЛЬЦЫ""";ФРАДКИН М.;ДОЛМАТОВСКИЙ Е.; ; 
798;А ЗНАЕШЬ, ВСЕ ЕЩЕ БУДЕТ;ПУГАЧЕВА А.;МИНКОВ М.;ТУШНОВА В.;•; 
431;А КТО-ТО ТРЕТИЙ;ЗОЛОТОЕ КОЛЬЦО;НАР., КОСТЮК А.;НАР.; ; 
477;А МЕТЕЛЬ МЕТЕТ БЕЛАЯ;ВЕРКА СЕРДЮЧКА;ДАНИЛКО А.;ДАНИЛКО А.; ; 
